abbreviation,description
ГЦК,Гепатоцеллюлярная карцинома
ГЦР,Гепатоцеллюлярный рак
ГЭБ,Гематоэнцефалический барьер
ГЭС/ХЭЛ,Гиперэозинофильный синдром/хронический эозинофильный лейкоз
ГнРГ,Гонадотропин-рилизинг гормон
ДАД,Диастолическое артериальное давление
ДАТ,Двойная антиагрегантная терапия
ДБ,День беременности
ДБЛС,Департамент безопасности лекарственных средств
ДВККЛ,Диффузная b-крупноклеточная лимфома
ДГ,День гестации
ДГК,Докозагексаеновая кислота
ДГТ,Дигидротестостерон
ДД,Диастолическая дисфункция
ДДБА,Длительнодействующие β2-агонисты
ДДКР,Департамент доклинической и клинической разработки
ДИ,Доверительный интервал
ДКИ,Доклиническое исследование
ДКТ,Длительная кислородотерапия
ДЛ,День лактации
ДЛП,Дислипидемии
ДЛТ,Дозолимитирующая токсичность
ДМ,Дерматомиозит
ДМСО,Диметилсульфоксид
ДН,Диабетическая нефропатия
ДНК,Дезоксирибонуклеиновая кислота
ДНФ,Динитрофенол
ДО,Длительность ответа
ДПД,Длительность потенциала действия
ДПП,Дипептидилпептидаза
ДПП-4,Дипептидилпептидаза-4
ДРЩЖ,Дифференцированный рак щитовидной железы
ДТ,Диспергируемые таблетки
ДЭ,Депрессивный эпизод
ЕС,Европейский союз
ЕЭК,Евразийская экономическая комиссия
ЕЭС,Евразийский экономический союз
Ед,Единицы
ЖА,Желудочковая аритмия
ЖКТ,Желудочно-кишечный тракт
ЖНВЛП,Жизненно необходимые и важнейшие лекарственные препараты
ЖСС,Жидкостный сцинтилляционный счетчик
ЖХ-МС,Жидкостная хроматография с масс-спектрометрией
ЖХ-МС/МС,Жидкостная хроматография с тандемной масс-спектрометрией
ЖХ-МСМС,Жидкостная хроматография с тандемной масс-спектрометрией
ЖХ/МС/МС,Жидкостная хроматография с тандемной масс-спектрометрией
ЗД,Западная диета
ЗПТ,Заместительная почечная терапия
ЗРУ,Заявление на получение регистрационного удостоверения
ЗСТ,Заболевания соединительной ткани
ИА,Ингибитор ароматазы
ИАЛ,Инвазивный аспергиллез легких
ИАПФ,Ингибиторы ангиотензинпревращающего фермента
ИАТ,Ингибирование агрегации тромбоцитов
ИБЛ,Интерстициальная болезнь легких
ИБС,Ишемическая болезнь сердца
ИВЛ,Искусственная вентиляция легких
ИГХ,Иммуногистохимический анализ
ИЗЛ,Интерстициальное заболевание легких
ИЗЛ-ССД,Интерстициальные заболевания легких при системной склеродермии
ИИ,Ингибитор интегразы
ИИП,Идиопатические интерстициальные пневмонии
ИК,Инфракрасный
ИКН,Ингибиторы кальциневрина
ИЛ,Интерлейкин
ИЛ-6,Интерлейкин 6
ИЛАГ,Идиопатическая легочная артериальная гипертензия
ИЛФ,Идиопатический легочный фиброз
ИМ,Инфаркт миокарда
ИМП,Инструкция по медицинскому применению
ИМП,Инфекция мочевыводящих путей
ИМПП,Инструкция по медицинскому применению препарата
ИМТ,Индекс массы тела
ИМбпST,Инфаркт миокарда без подъема сегмента st
ИМпST,Инфаркт миокарда с подъемом сегмента st
ИОТ,Ингибитор обратной транскриптазы
ИП,Ингибитор протеазы
ИП,Истинная полицитемия
ИПП,Ингибитор протонной помпы
ИПЦИ,Ингибитор переноса цепи интегразы
ИР,Инсулиновый рецептор
ИР,Инсулинорезистентность
ИРК,Индивидуальная регистрационная карта
ИС,Ингибитор слияния
ИС,Информированное согласие
ИСМ,Индолентный системный мастоцитоз
ИСТ,Иммуносупрессивная терапия
ИТК,Ингибитор тирозинкиназы
ИТП,Иммунная тромбоцитопения
ИФА,Иммуноферментный анализ
ИФН,Интерферон
ИХТ,Иммунохимиотерапия
ИЦ,Исследовательский центр
Ингал.,Ингаляционный путь введения
Кel,Константа скорости элиминации
КАК,Клинический анализ крови
КВ,Коэффициент вариации
КГП,Кислотный гликопротеин
КДОЛЖ,Конечно-диастолический объем левого желудочка
КЖ,Качество жизни
КЖП,Канюлирование желчных протоков
КИ,Клиническое исследование
КИО,Контрактная исследовательская организация
КК,Клиренс креатинина
КК,Контроль качества
ККМГ,Каприлокапроилмакроголглицериды
КМ,Кожный мастоцитоз
КМД,Комитет по мониторингу данных
КПА,Кожная пассивная анафилаксия
КРР,Колоректальный рак
КРРПЖ,Кастрационно-резистентный рак предстательной железы
КС,Креатинин сыворотки
КСО,Классификация систем органов
КТ,Компьютерная томография
КТВР,Компьютерная томография высокого разрешения
КФД,Комбинация фиксированных доз
ЛАГ,Легочная артериальная гипертензия
ЛВ,Лекарственное взаимодействие
ЛВП,Липопротеиды высокой плотности
ЛГ,Лютеинизирующий гормон
ЛГРГ,Лютеинизирующий гормон рилизинг-гормон
ЛД50,"Медианная летальная доза: доза вещества, вызывающая гибель 50% экспериментальной популяции"
ЛДГ,Лактатдегидрогеназа
ЛЖ,Левый желудочек
ЛЖВ,"Люди, живущие с вич"
ЛКМ,Лимфома из клеток мантии
ЛМЗ,Лимфома маргинальной зоны
ЛМЛ,Лимфома из малых лимфоцитов
ЛП,Левое предсердие
ЛПВП,Липопротеины высокой плотности
ЛПЛ,Липопротеинлипаза
ЛПНП,Липопротеины низкой плотности
ЛПОНП,Липопротеины очень низкой плотности
ЛПП,Лекарственное поражение печени
ЛПУ,Лечебно-профилактическое учреждение
ЛС,Лекарственное средство
ЛСК,Лиганд-связывающий карман
ЛСР,Лекарственное средство
ЛСС,Легочное сосудистое сопротивление
ЛСЭСП,Лекарственная сыпь с эозинофилией и системных проявлениями
ЛТ,Лучевая терапия
ЛЭК,Локальный этический комитет
МА,Микроальбуминурия
МВ,Макроглобулинемия вальденстрема
МД,Медицинская дирекция
МДМА,Метилендиоксиметамфетамин
МДС,Миелодиспластический синдром
МЕ,Международные единицы
МЗ,Министерство здравоохранения
МИК,Минимальная ингибирующая концентрация
МК,Мочевая кислота
МКД,Межквартильный диапазон
МКЛ,Мантийноклеточная лимфомома
МКПК,Мононуклеарные клетки периферической крови
МКТ,Монокроталин
МЛВ,Межлекарственное взаимодействие
МЛЛ,Мелкоклеточная лимфоцитарная лимфома
МЛУ,Множественная лекарственная устойчивость
ММ,Множественная миелома
ММФ,Микофенолата мофетил
МНК,Мононуклеарные клетки
МНН,Международное непатентованное наименование
МНО,Международное нормализованное отношение
МО,Молекулярный ответ
МПД,Максимальная переносимая доза
МПЗ,Миелопролиферативные заболевания
МПКТ,Минеральная плотность костной ткани
МПН,Миелопролиферативное новообразование
МПО,Максимальный переносимый объем
МРДЧ,Максимальная рекомендуемая доза для человека
МРЛ,Местно-распространенный рак
МРТ,Магнитно-резонансная томография
МРЩЖ,Медуллярный рак щитовидной железы
МС,Метаболический синдром
МС НМГ,Международный стандарт низкомолекулярного гепарина
МТХ,Метотрексат
МФК,Минимальная фунгицидная концентрация
МЦО,Малый цитогенетический ответ
МЭД,Минимальная эффективная доза
Макс,Максимальное значение
Мин,Минимальное значение
МкАТ,Моноклональные антитела
Н. квартиль,Нижний квартиль
НАДФ,Никотинамидадениндинуклеотидфосфат
НАДФН,Никотинамидадениндинуклеотидфосфат
НВЛ,Неинвазивная вентиляция легких
НГЛТ-1,Натрий-глюкозный котранспортер 1-го типа
НГЛТ-2,Натрий-глюкозный котранспортер 2 типа
НГН,Нарушенная гликемия натощак
НГН,Нижняя граница нормы
НД,Нет данных
НД,Нормативная документация
НИЗиП,Национальное исследование здоровья и питания
НИИ,Научно-исследовательский институт
НИОТ,Нуклеозидный ингибитор обратной транскриптазы
НКК,Нижний контроль качества
НКУ,Независимое контрольное учреждение
НЛР,Нежелательная лекарственная реакция
НМ-КРРПЖ,Неметастатический кастрационно-резистентный рак предстательной железы
НМГ,Низкомолекулярный гепарин
НМРК,Немеланомный рак кожи
НМРЛ,Немелкоклеточный рак легкого
ННИОТ,Ненуклеозидный ингибитор обратной транскриптазы
ННК,Независимый наблюдательный комитет
ННР,Непредвиденная нежелательная реакция
НОАК,Новые оральные антикоагулянты
НП,Не применимо
НПВ,Нижняя полая вена
НПВП,Нестероидный противовоспалительный препарат
НПКО,Нижний предел количественного определения
НПЭ,Неблагоприятные побочные эффекты
НР,Нежелательная реакция
НС,Нестабильная стенокардия
НТГ,Нарушенная толерантность к глюкозе
НУП,Натрийуретический пептид
НФГ,Нефракционированный гепарин
НХЛ,Неходжкинская лимфома
НЭК,Независимый этический комитет
НЭО,Нейроэндокринные опухоли
НЯ,Нежелательное явление
НЯФЛ,"Нежелательное явление, возникшее на фоне лечения"
НтИОТ,Нуклеотидный ингибитор обратной транскриптазы
ОА,Очаговая алопеция
ОАК,Общий анализ крови
ОАМ,Общий анализ мочи
ОАТ,Переносчик органических анионов
ОАТР,Переносчик органических анионов полипептида
ОВ,Общая выживаемость
ОГЭП,Острый генерализованный экзантематозный пустулез
ОИ,Оппортунистические инфекции
ОИМ,Острый инфаркт миокарда
ОИП,Обычная интерстициальная пневмония
ОКС,Острый коронарный синдром
ОКСбпST,Острый коронарный синдром без подъема сегмента st
ОКСпST,Острый коронарный синдром с подъемом сегмента st
ОЛ,Острый лейкоз
ОЛЛУ,Оценке локальных лимфатических узлов
ОМД,Отдел медицинской документации
ОМЛ,Острый миелоидный лейкоз
ОНМК,Острое нарушение мозгового кровообращения
ООО,Общество с ограниченной ответственностью
ОП,Опытно-промышленный
ОПП,Острое почечное повреждение
ОПСС,Общее периферическое сопротивление сосудов
ОР,Относительный риск
ОРВИ,Острая респираторная вирусная инфекция
ОСН,Острая сердечная недостаточность
ОСТ,Переносчик органических катионов
ОТТС,Операция ортотопической трансплантации сердца
ОФВ1,Объем форсированного выдоха за одну секунду
ОФТ,Оптимизированная фоновая терапия
ОХ,Общий холестерин
ОХЛП,Общая характеристика лекарственного препарата
ОЧО,Общая частота ответа
ОШ,Отношение шансов
ПАГ,Парааминогиппуровая кислота
ПВ,Протромбиновое время
ПВА,Полная выборка анализов
ПВДХ,Поливинилиденхлорид
ПВП,Поливинилпирролидон
ПВТ,Противовирусная терапия
ПВХ,Поливинилхлорид
ПГА2,Простагландин а2
ПГГП,Пероральные гипогликемические препараты
ПГД2,Простагландин д2
ПГО,Полный гематологический ответ
ПГТТ,Пероральный глюкозотолерантный тест
ПД,Потенциал дейтсвия
ПЖ,Поджелудочная железа
ПЗ,Прогрессирование заболевания
ПИН,Потреблители инъекционных наркотиков
ПК,Периферическая кровь
ПКР,Плоскоклеточный рак
ПКР,Почечно-клеточный рак
ПКТ,Первичная конечная точка
ПЛЛ,Пациенто-лет лечения
ПМЛ,Прогрессирующая множественная лейкоэнцефалопатия
ПМО,Полный молекулярный ответ
ПМТ,Прибавка массы тела
ПМФ,Первичный миелофиброз
ПНЖК,Полиненасыщенные жирные кислоты
ПНМК,Переходящее нарушение мозгового кровообращения
ПО,Полный ответ
ПО,Программное обеспечение
ПОЛ,Перекисное окисление липидов
ППГ,Глюкоза в плазме крови после приема пищи
ППД,Препарат прямого действия
ПППД,Противовирусные препараты прямого действия
ППТ,Площадь поверхности тела
ПР,Полная ремиссия
ПСА,План статистического анализа
ПСА,Простатспецифический антиген
ПСВ,Пиковая скорость выдоха
ПСМ,Производные сульфонилмочевины
ПССП,Пероральные сахароснижающие препараты
ПТ,Протромбиновое время
ПТИ,Протромбиновый индекс
ПТТГ,Пероральный тест толерантности к глюкозе
ПХТ,Полихимиотерапия
ПЦО,Полный цитогенетический ответ
ПЦР,Полимеразная цепная реакция
ПЦР-РВ,Реакция полимеразной цепной реакции в реальном времени
ПЭ,Полный эффект
ПЭГ,Полиэтиленгликоль
ПЭП,Противоэпилептические препараты
Пост-ИП МФ,Постполицитемический миелофиброз
РА,Ревматоидный артрит
РААС,Ренин-ангиотензин-альдостероновая система
РБВ,Рибавирин
РВРК,Физиологически обоснованное фармакокинетическое моделирование
РГЛГ,Рилизинг-гормон лютеинизирующего гормона
РЙТ,Радиойодтерапия
РКИ,Рандомизированное клиническое исследование
РМЖ,Рак молочной железы
РН,Радикальная нефрэктомия
РНК,Рибонуклеиновая кислота
РНЛ,Ранее не леченный
РП,Рак простаты
РП,Резекция почки
РПЖ,Рак предстательной железы
РТМ,Рак тела матки
РТПХ,Реакция «трансплантат против хозяина»
РУ,Регистрационное удостоверение
РФ,Ревматоидный фактор
РФ,Российская федерация
РЩЖ,Рак щитовидной железы
РЭ,Рак эндометрия
САГК,Суберанилогидроксамовая кислота
САД,Систолическое артериальное давление
САР,Снижение абсолютных рисков
САС,Симпатоадреналовая система
СБН,Стимуляция блуждающего нерва
СГ,Спонтанная гипертензия
СД,Сахарный диабет
СД 2,Сахарный диабет 2 типа
СД1,Сахарный диабет 1 типа
СД2,Сахарный диабет 2 типа
СД2Т,Сахарный диабет 2 типа
СЖК,Свободные жирные кислоты
СЖП,Содержание железа в печени
СЗ,Стабилизация заболевания
СЗОЭ,Синдром задней обратимой энцефалопатии
СКВ,Системная красная волчанка
СКК,Средний контроль качества
СКФ,Скорость клубочковой фильтрации
СМ,Системный мастоцитоз
СМ,Сульфонилмочевина
СМ-АГН,Системный мастоцитоз с ассоциированным гематологическим новообразованием
СМЖ,Спинномозговая жидкость
СН,Сердечная недостаточность
СН-нФВ,Сердечная недостаточность с низкой фракцией выброса
СННР,Серьезная непредвиденная нежелательная реакция
СНР,Серьезная нежелательная реакция
СНЯ,Серьезное нежелательное явление
СНсСФВ,Сердечная недостаточность с сохраненной фракцией выброса
СО,Стандартное отклонение
СОАС,Синдром обструктивного апноэ сна
СОД,Суммарная доза облучения
СОК,Системно-органный класс
СОП,Стандартная операционная процедура
СОР,Снижение относительных рисков
СОЭ,Скорость оседания эритроцитов
СП,Санитарные правила
СПИД,Синдром приобретенного иммунодефицита
СС,Системный склероз
ССД,Синдром стивенса-джонсона
ССЗ,Сердечно-сосудистые заболевания
ССЗОА,"Сердечно-сосудистое заболевание, обусловленное атеросклерозом"
ССИ,Скорость секреции инсулина
ССО,Сердечно-сосудистые осложнения
ССП,Сахароснижающие препараты
ССС,Сердечно-сосудистая система
ССС,Сердечно-сосудистая смертность
СТ,Стабилизация
СТК,Саркома тучных клеток
СТО,Стандартный образец
СЧР,Совокупная частота рецидивов
США,Соединенные штаты америки
СЭГА,Cубэпендимальная гигантоклеточная астроцитома
ТАА,Тяжелая апластическая анемия
ТБ,Туберкулез
ТВ,Тромбиновое время
ТГ,Триглицериды
ТГВ,Тромбоз глубоких вен
ТГСК,Трансплантация гемопоэтических стволовых клеток
ТЕМ,Просвечивающая электронная микроскопия
ТЗД,Тиазолидиндионы
ТИА,Транзиторная ишемическая атака
ТК,Тирозинкиназа
ТК,Тучная клетка
ТКБ,Тирозинкиназа брутона
ТКИ,Ингибитор тирозинкиназа
ТКЛ,Тучноклеточный лейкоз.
ТКПО,"Таблетки кишечнорастворимые, покрытые оболочкой"
ТКС,Топические кортикостероиды
ТН,Торговое наименование
ТНП,Терминальная почечная недостаточность
ТНРМЖ,Трижды негативный рак молочной железы
ТОССЗ,Тяжелые осложнения сердечно-сосудистых заболеваний
ТПО,"Таблетки, покрытые пленочной оболочкой"
ТППО,"Таблетки, покрытые пленочной оболочкой"
ТС,Туберозный склероз
ТСКК,Трансплантация стволовых клеток
ТСКР,Тест сравнительной кинетики растворения
ТСМ,Тлеющий системный мастоцитоз
ТСПН,Терминальная стадия почеченой недостаточности
ТТГ,Тиреотропный гормон
ТТП,Тромботическая тромбоцитопеническая пурпура
ТФ,Тканевой фактор
ТФР,Трансформирующий фактор роста
ТЭЛА,Тромбоэмболия легочной артерии
ТЭН,Токсический эпидермальный некроз
УВО,Устойчивый вирусологический ответ
УВЭЖХ-qTOF/МС/МС,"Ультравысокоэффективная жидкостная хроматография с квадрупольной времяпролетной (qtof, quadrupole time-of-flight) тандемной масс-спектрометрией (мс/мс, tandem mass spectrometry)"
УГТ,Уридиндифосфат-глюкуронозилтрансфераза
УДФ,Уридин-5-дифосфат
УДФГТ,Уридин-5'-дифосфат-глюкуронозилтрансфераза
УЗИ,Ультразвуковое исследование
УКП,Улучшение клинических показателей
УЛП,Ушко левого предсердия
УФ,Ультрафиолет
Уд/мин,Удары в минуту
ФА,Фаза акселерации
ФАБ,Франко-американо-британская классификация
ФБУН,Федеральное бюджетное учреждение науки
ФВ,Фракция выброса
ФВЛЖ,Фракция выброса левого желудочка
ФГА,Фитогемагглютинин
ФГБУ,Федеральное государственное бюджетное учреждение
ФД,Фармакодинамика
ФДГ,Фтордезоксиглюкоза
ФДЭ,Фосфодиэстераза
ФЖ,Фибрилляция желудочков
ФЖЕЛ,Форсированная жизненная емкость легких
ФЗ,Федеральный закон
ФИО,Фамилия имя отчество
ФК,Фармакокинетика
ФК,Функциональный класс
ФКД,Фиксированная комбинация доз
ФМА,Форболмиристатацетат
ФНО,Фактор некроза опухоли
ФНО-α,Фактор некроза опухоли альфа
ФП,Фибрилляция предсердий
ФР,Фактор риска
ФСГ,Фолликулостимулирующий гормон
ФТ,Фоновая терапия
ФТП,Функциональные тесты печени
Физиол. конц.,В пределах физиологической концентрации
ХБП,Хроническая болезнь почек
ХВГС,Хронический вирусный гепатит c
ХГЧ,Хорионический гонадотропин человека
ХЛЛ,Хронический лимфоцитарный лейкоз
ХМЛ,Хронический миелоидный лейкоз
ХММЛ,Хронический миеломоноцитарный лейкоз
ХПН,Хроническая почечная недостаточность
ХСН,Хроническая сердечная недостаточность
ХСНнФВ,Хроническая сердечная недостаточность со снижением фракции выброса левого желудочка
ХСНпФВ,Хроническая сердечная недостаточность с промежуточной фракцией выброса левого желудочка
ХСНсФВ,Хроническая сердечная недостаточность с сохранённой фракцией выброса левого желудочка
ХТ,Хелаторная терапия
ХТ,Химиотерапия
ХФ,Хроническая фаза
Хс-ЛПВП,Холестерин липопротеинов высокой плотности
Хс-ЛПНП,Холестерин липопротеинов низкой плотности
Хс-ЛПОНП,Холестерин липопротеинов очень низкой плотности
ЦК,Цельная кровь
ЦМВ,Цитомегаловирусная инфекция
ЦНС,Центральная нервная система
ЦОГ,Циклооксигеназа
ЦОГ-1,Циклооксигеназа 1 типа
ЦОГ-2,Циклооксигеназа 2 типа
ЦП,Цирроз печени
ЧБНЛ,Число больных необходимое для лечения
ЧДД,Частота дыхательных движений
ЧКВ,Чрезкожное коронарное вмешательство
ЧКЗ,Частота контроля заболевания
ЧКУ,Частота клинического улучшения
ЧКУ16,Частота клинического улучшения на сроке 16 недель
ЧКУ24,Частота клинического улучшения на сроке 24 недели
ЧО,Частичный ответ
ЧОО,Частота общего ответа
ЧОО,Частота объективного ответа
ЧП-ЭхоКГ,Чреспищеводная эхокардиография
ЧСА,Человеческий сывороточный альбумин
ЧСС,Частота сердечных сокращений
ЧЭ,Частичный эффект
ЩЖ,Щитовидная железа
ЩФ,Щелочная фосфатаза
ЭД,Эффективная (пероральная) доза
ЭКГ,Электрокардиограмма/электрокардиографическое исследование
ЭПК,Эйкозапентаеновая кислота
ЭСБКК,Эмболия сосудов большого круга кровообращения
ЭХОКГ,Эхокардиография
ЭЭ,Этинилэстрадиол
ЭхоКГ,Эхокардиография
ЮИА,Ювенильный идиопатический артрит
ЮНЕЙДС,Объединенная программа организации объединенных наций по вич/спиду
ЯК,Язвенный колит
ЯМР,Ядерно-магнитный резонанс
ЯОП,Ядро одиночного пути
ЯР,Ядерный рецептор
анти-VEGF,Антитела к фактору роста эндотелия сосудов
в/в,Внутривенный путь введения
г,Грамм
иАПФ,Ингибитор ангиотензин-превращающего фермента
иДПП-4,Ингибиторы дипетидилпептидазы-4
иНГЛТ-2,Ингибитор натрий-глюкозного котранспортера 2-го типа
иНГЛТ-2/ НГЛТ-2,Ингибиторы натрий-глюкозного котранспортера 2-го типа
иНГЛТ2,Ингибитор натрий-глюкозного котранспортера 2
иФДЭ-5,Ингибитор фосфодиэстеразы типа 5
кДНК,Комплементарная дезоксирибонуклеиновая кислота
кг,Килограмм
кфСРПВ,Каротиднофеморальная скорость распространения пульсовой волны
л,Литр
м,Метр
мБКР,Метастатический базальноклеточный рак кожи
мГРЧПЖ,Метастатический гормоночувствительный рак предстательной железы
мГЧРПЖ,Метастатический гормон-чувствительный рак предстательной железы
мКРПЖ,Метастатический кастрационный рак предстательной железы
мКРРПЖ,Метастатический кастрационно-резистентный рак предстательной железы
мКЧРПЖ,Метастатический кастрационно-чувствительный рак предстательной железы
мПКР,Метастатический почечно-клеточный рак
мРМЖ,Метастатический рак молочной железы
мРНК,Матричная рибонуклеиновая кислота
мг,Миллиграмм
мес.,Месяц(ев)
мин,Минута
мкМ,Микромоль
мкг,Микрограмм
мкмоль,Микромоль
мл,Миллилитр
мм,Миллиметр
ммоль,Миллимоль
мрБКР,Местно-распространенный базальноклеточный рак кожи
мтДНК,Митохондриальная дезоксирибонуклеиновая кислота
нПКР,Несветлоклеточный почечно-клеточный рак
нг,Нанограмм
нмКРРПЖ,Неметастатический кастрационно-резистентный рак предстательной железы
оРТПХ,Острая реакция «трансплантат против хозяина»
п/з,Поле зрения
п/к,Подкожный путь введения
п/о,Пероральный путь введения
пег-ИФН,Пегилированный интерферон
пэг-ИФН,Пегилированный интерферон
рВБП,Рентгенологически подтвержденная выживаемость без прогрессирования
рН,Potentia hydrogenii (вес водорода): показатель кислотности
рСКФ,Расчетная скорость клубочковой фильтрации
рт.ст.,Ртутного столба
сБМАРП,Синтетические болезнь-модифицирующие антиревматические препараты
сБПВП,Синтетические базисные противовоспалительные препараты
сПКР,Светлоклеточный почечно-клеточный рак
сЮА,Системный юношеский артрит
сут,Сутки
тппо,"Таблетки, покрытые пленочной оболочкой"
тсБМАРП,Таргетные синтетические болезнь-модифицирующие антиревматические препараты
тсБПВП,Таргетные синтетические базисные противовоспалительные препараты
хРТПХ,Хроническая реакция «трансплантат против хозяина»
цАМФ,Циклический аденозинмонофосфат
цГМФ,Циклический гуанозинмонофосфат
цНЭ,Циторедуктивная нефрэктомия
ч,Час
эИРК,Электронная версия индивидуальной регистрационной карты
