abbreviation,description
ТЕМ,Просвечивающая электронная микроскопия
ТЗД,Тиазолидиндионы
ТИА,Транзиторная ишемическая атака
ТКИ,Ингибитор тирозинкиназа
ТКЛ,Тучноклеточный лейкоз.
ТКПО,"Таблетки кишечнорастворимые, покрытые оболочкой"
ТКС,Топические кортикостероиды
ТН,Торговое наименование
ТНП,Терминальная почечная недостаточность
ТНРМЖ,Трижды негативный рак молочной железы
ТОССЗ,Тяжелые осложнения сердечно-сосудистых заболеваний
ТПО,"Таблетки, покрытые пленочной оболочкой"
ТППО,"Таблетки, покрытые пленочной оболочкой"
ТС,Туберозный склероз
ТСМ,Тлеющий системный мастоцитоз
ТСПН,Терминальная стадия почеченой недостаточности
ТТГ,Тиреотропный гормон
ТТП,Тромботическая тромбоцитопеническая пурпура
ТФ,Тканевой фактор
ТФР,Трансформирующий фактор роста
ТЭЛА,Тромбоэмболия легочной артерии
ТЭН,Токсический эпидермальный некроз
УВО,Устойчивый вирусологический ответ
УВЭЖХ-qTOF/МС/МС,"Ультравысокоэффективная жидкостная хроматография с квадрупольной времяпролетной (qTOF, quadrupole time-of-flight) тандемной масс-спектрометрией (МС/МС, tandem mass spectrometry)"
УДФ,Уридин-5-дифосфат
УДФГТ,Уридин-5'-дифосфат-глюкуронозилтрансфераза
УЗИ,Ультразвуковое исследование
УКП,Улучшение клинических показателей
УЛП,Ушко левого предсердия
УФ,Ультрафиолет
Уд/мин,Удары в минуту
ФА,Фаза акселерации
ФАБ,Франко-американо-британская классификация
ФБУН,Федеральное бюджетное учреждение науки
ФВ,Фракция выброса
ФГА,Фитогемагглютинин
ФГБУ,Федеральное государственное бюджетное учреждение
ФДГ,Фтордезоксиглюкоза
ФДЭ,Фосфодиэстераза
ФЖ,Фибрилляция желудочков
ФЗ,Федеральный закон
ФКД,Фиксированная комбинация доз
ФМА,Форболмиристатацетат
ФНО,Фактор некроза опухоли
ФНО-α,Фактор некроза опухоли альфа
ФП,Фибрилляция предсердий
ФР,Фактор риска
ФСГ,Фолликулостимулирующий гормон
ФТ,Фоновая терапия
ФТП,Функциональные тесты печени
Физиол. конц.,В пределах физиологической концентрации
ХБП,Хроническая болезнь почек
ХВГС,Хронический вирусный гепатит C
ХГЧ,Хорионический гонадотропин человека
ХЛЛ,Хронический лимфоцитарный лейкоз
ХММЛ,Хронический миеломоноцитарный лейкоз
ХПН,Хроническая почечная недостаточность
ХСНпФВ,Хроническая сердечная недостаточность с промежуточной фракцией выброса левого желудочка
ХСНсФВ,Хроническая сердечная недостаточность с сохранённой фракцией выброса левого желудочка
ХФ,Хроническая фаза
Хс-ЛПВП,Холестерин липопротеинов высокой плотности
Хс-ЛПНП,Холестерин липопротеинов низкой плотности
Хс-ЛПОНП,Холестерин липопротеинов очень низкой плотности
ЦК,Цельная кровь
ЦМВ,Цитомегаловирусная инфекция
ЦОГ,Циклооксигеназа
ЦОГ-1,Циклооксигеназа 1 типа
ЦОГ-2,Циклооксигеназа 2 типа
ЦП,Цирроз печени
ЧБНЛ,Число больных необходимое для лечения
ЧДД,Частота дыхательных движений
ЧКЗ,Частота контроля заболевания
ЧКУ,Частота клинического улучшения
ЧКУ16,Частота клинического улучшения на сроке 16 недель
ЧКУ24,Частота клинического улучшения на сроке 24 недели
ЧО,Частичный ответ
ЧП-ЭхоКГ,Чреспищеводная эхокардиография
ЧСА,Человеческий сывороточный альбумин
ЧСС,Частота сердечных сокращений
ЧЭ,Частичный эффект
ЩЖ,Щитовидная железа
ЭД,Эффективная (пероральная) доза
ЭПК,Эйкозапентаеновая кислота
ЭСБКК,Эмболия сосудов большого круга кровообращения
ЭХОКГ,Эхокардиография
ЭЭ,Этинилэстрадиол
ЭхоКГ,Эхокардиография
ЮИА,Ювенильный идиопатический артрит
ЮНЕЙДС,Объединенная программа Организации Объединенных Наций по ВИЧ/СПИДу
ЯК,Язвенный колит
ЯОП,Ядро одиночного пути
ЯР,Ядерный рецептор
анти-VEGF,Антитела к фактору роста эндотелия сосудов
г,Грамм
SGLT2,Sodium-Glucose Cotransporter 2 Inhibitor (ингибитор натрий-глюкозного котранспортера 2)
иНГЛТ2,Ингибитор натрий-глюкозного котранспортера 2
иДПП-4,Ингибиторы дипетидилпептидазы-4
иНГЛТ-2,Ингибитор натрий-глюкозного котранспортера 2-го типа
иНГЛТ-2/ НГЛТ-2,Ингибиторы натрий-глюкозного котранспортера 2-го типа
иФДЭ-5,Ингибитор фосфодиэстеразы типа 5
кг,Килограмм
кфСРПВ,Каротиднофеморальная скорость распространения пульсовой волны
л,Литр
м,Метр
мБКР,Метастатический базальноклеточный рак кожи
мГРЧПЖ,Метастатический гормоночувствительный рак предстательной железы
мГЧРПЖ,Метастатический гормон-чувствительный рак предстательной железы
мКРПЖ,Метастатический кастрационный рак предстательной железы
мКРРПЖ,Метастатический кастрационно-резистентный рак предстательной железы
мКЧРПЖ,Метастатический кастрационно-чувствительный рак предстательной железы
мПКР,Метастатический почечно-клеточный рак
мРМЖ,Метастатический рак молочной железы
мРНК,Матричная рибонуклеиновая кислота
мг,Миллиграмм
мес.,Месяц(ев)
мин,Минута
мкг,Микрограмм
кг,Килограмм
мкмоль,Микромоль
мл,Миллилитр
мм,Миллиметр
ммоль,Миллимоль
мрБКР,Местно-распространенный базальноклеточный рак кожи
мтДНК,Митохондриальная дезоксирибонуклеиновая кислота
нПКР,Несветлоклеточный почечно-клеточный рак
нг,Нанограмм
нмКРРПЖ,Неметастатический кастрационно-резистентный рак предстательной железы
оРТПХ,Острая реакция «трансплантат против хозяина»
п/з,Поле зрения
п/к,Подкожный
п/о,Пероральный
пег-ИФН,Пегилированный интерферон
пэг-ИФН,Пегилированный интерферон
рН,Potentia Hydrogenii (вес водорода): Показатель кислотности
рСКФ,Расчетная скорость клубочковой фильтрации
рт.ст.,Ртутного столба
сБПВП,Синтетические базисные противовоспалительные препараты
сПКР,Светлоклеточный почечно-клеточный рак
сЮА,Системный юношеский артрит
сут,Сутки
тппо,"Таблетки, покрытые пленочной оболочкой"
тсБПВП,Таргетные синтетические базисные противовоспалительные препараты
хРТПХ,Хроническая реакция «трансплантат против хозяина»
цАМФ,Циклический аденозинмонофосфат
цГМФ,Циклический гуанозинмонофосфат
цНЭ,Циторедуктивная нефрэктомия
ч,Час
эИРК,Электронная версия индивидуальной регистрационной карты
